"","param","estimate","rses","run","ofv","bic","ses"
"1","a_",0.637851918011089,"8.50811976000204",14,342.158297773132,374.547126543963,"0.210756133361484"
"2","a_pop",-4.44523204709183,"-6.22159505250752",14,342.158297773132,374.547126543963,"0.276564337114344"
"3","b1_pop",0.722390479698008,"3.07329667311879",14,342.158297773132,374.547126543963,"0.0222012025794858"
"4","b2_pop",0.0637248821903045,"14.3337824511423",14,342.158297773132,374.547126543963,"0.0281508277702842"
"5","beta_b1_N803_1",-0.793753846742237,"-3.54654379135574",14,342.158297773132,374.547126543963,"0.0291250760093087"
"6","beta_b1_RhmAbs_1",0.648329513410027,"4.49232610993123",14,342.158297773132,374.547126543963,"0.00913418598040496"
"7","beta_b2_N803_1",-0.0312283330914376,"-31.2520998860581",14,342.158297773132,374.547126543963,"0.00975950985048703"
"8","omega_a",0.813199730498149,"25.7008555901814",14,342.158297773132,374.547126543963,"0.158173528741614"
"9","omega_b1",0.0129363771464728,"75.5914559578459",14,342.158297773132,374.547126543963,"0.208999288395074"
"10","omega_x0",0.832784250308687,"18.9933381524667",14,342.158297773132,374.547126543963,"0.00977879583321686"
"11","x0_pop",6.89490827968376,"3.05669234183272",14,342.158297773132,374.547126543963,"0.0542692050758535"
