x0_pop,0.0511557,-0.0179801,0.00365112,0.00076006,0.000534913,-7.63801e-05,5.31063e-05,0.00187121,0.00186539,-0.00157717,0.000167678
a_pop,-0.0179801,0.0760412,-0.00480996,-0.00124531,0.000400675,0.000745991,-0.000507689,-0.00562483,-0.00976299,0.00205306,-0.000327852
b1_pop,0.00365112,-0.00480996,0.00398845,-2.96392e-05,-0.00365941,-2.78548e-05,1.61184e-05,0.000680143,0.00216174,0.000112359,6.35454e-05
beta_b1_N803_1,0.00076006,-0.00124531,-2.96392e-05,0.015087,-0.0091606,-1.09885e-05,2.27359e-05,0.000664852,0.00245338,-0.00117816,-0.000250139
beta_b1_RhmAbs_1,0.000534913,0.000400675,-0.00365941,-0.0091606,0.0136797,1.83943e-05,-1.69985e-05,0.000495516,-0.00188208,-0.000933526,9.0159e-05
b2_pop,-7.63801e-05,0.000745991,-2.78548e-05,-1.09885e-05,1.83943e-05,5.87678e-05,-5.45139e-05,-2.35898e-05,0.000172813,-1.02109e-05,9.53691e-05
beta_b2_N803_1,5.31063e-05,-0.000507689,1.61184e-05,2.27359e-05,-1.69985e-05,-5.45139e-05,7.08418e-05,2.87437e-06,-0.000231799,2.15852e-05,-3.60793e-05
omega_x0,0.00187121,-0.00562483,0.000680143,0.000664852,0.000495516,-2.35898e-05,2.87437e-06,0.0268892,0.00835761,-0.000961407,-0.000874718
omega_a,0.00186539,-0.00976299,0.00216174,0.00245338,-0.00188208,0.000172813,-0.000231799,0.00835761,0.0482917,-0.00158247,-0.000938774
omega_b1,-0.00157717,0.00205306,0.000112359,-0.00117816,-0.000933526,-1.02109e-05,2.15852e-05,-0.000961407,-0.00158247,0.00195348,9.01897e-07
a_,0.000167678,-0.000327852,6.35454e-05,-0.000250139,9.0159e-05,9.53691e-05,-3.60793e-05,-0.000874718,-0.000938774,9.01897e-07,0.00303625
